date, pm25, pm10, o3, no2, so2, co
2024/11/1, 50, 8, 24, 9, , 3
2024/11/2, 25, 9, 36, 5, 1, 3
2024/11/3, 31, 13, 37, 9, 1, 4
2024/11/4, 45, 12, 33, 9, 1, 3
2024/11/5, 40, 8, 24, 9, 1, 4
2024/11/6, 25, 5, 32, 6, 1, 3
2024/11/7, 19, 8, 30, 13, 1, 4
2024/11/8, 24, 10, 34, 13, , 4
2024/11/9, 35, 12, 30, 5, 1, 3
2024/11/10, 45, 10, 24, 11, 1, 4
2024/11/11, 35, 12, 25, 20, 1, 5
2024/11/12, 45, 12, 40, 11, 1, 4
2024/11/13, 36, , , , , 
2024/10/1, 32, 14, 43, 6, 1, 2
2024/10/2, 40, 11, 25, 8, 1, 2
2024/10/3, 27, 8, 14, 8, 1, 2
2024/10/4, 19, 5, 24, 6, 1, 2
2024/10/5, 13, 7, 24, 4, , 2
2024/10/6, 17, 10, 29, 7, 1, 3
2024/10/7, 30, 6, 32, 5, 1, 2
2024/10/8, 13, 5, 32, 5, 1, 2
2024/10/9, 13, 9, 27, 6, 1, 2
2024/10/10, 20, 11, 32, 12, 1, 3
2024/10/11, 33, 13, 43, 10, 1, 3
2024/10/12, 42, 12, 37, 6, 1, 3
2024/10/13, 37, 11, 40, 5, 1, 2
2024/10/14, 35, 12, 41, 8, 1, 2
2024/10/15, 37, 16, 26, 24, 3, 4
2024/10/16, 49, 17, 31, 11, 1, 3
2024/10/17, 46, 17, 21, 8, 1, 3
2024/10/18, 41, 14, 28, 6, , 3
2024/10/19, 31, 5, 32, 1, 1, 2
2024/10/20, 15, 8, 31, 6, 3, 3
2024/10/21, 24, 11, 34, 9, 1, 3
2024/10/22, 37, 19, 9, 17, 1, 4
2024/10/23, 49, 13, 26, 11, 1, 3
2024/10/24, 33, 9, 26, 9, 1, 3
2024/10/25, 26, 16, 20, 13, , 4
2024/10/26, 45, 17, 32, 8, 1, 3
2024/10/27, 48, 19, 24, 9, 1, 3
2024/10/28, 45, , 22, 8, 1, 2
2024/10/30, 13, 8, 31, 11, 1, 4
2024/10/31, 30, 15, 28, 17, 1, 4
2024/7/1, 28, 14, 72, 7, 1, 2
2024/7/2, 42, 21, 82, 6, 1, 2
